Instance ID,Skeletal code,Co-authors associated with analyzing this sample,Skeletal element,"Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r:5; Atmospheric data from Reimer et al (2020)","Date mean in BP [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]","Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform disribution between the two bounds for a contextual date]","Full Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990�40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE",Confidence of archaeological and chronological contextualization for the genetic data for this individual,"Group ID (the suffix ""_lc"" indicates fewer than 15000 SNPs covered on the 1240k target set)",Included in population genetic analysis (also indicated if included in Figure 3),Locality,Excavation reference if available,Country or Region,Latitude,Longitude,Data type,Number of Libraries,Average coverage on autosomal targets,SNPs hit on autosomal targets,Genetic Sex,Family ID and position within family,Sum total of ROH segments >4cM from hapROH,Sum total of ROH segments >20cM from hapROH,Y chromosome haplogroup (called only for males with 1240K data and only if >50000 autosomal SNPs hit), mtDNA coverage ,mtDNA haplogroup only called if >2x coverage,mtDNA match to consensus if >2x coverage,Damage rate in first nucleotide on sequences overlapping 1240k targets for samples processed at Harvard; C->T_CpG_5 for samples processed in China,Xcontam ANGSD SNPs (only if male),Xcontam ANGSD MOM 95% CI truncated at 0 (only if male and  SNPs > 200),ContamLD contamination 95% CI (Ccorrecting bias with damage-restricted sequences and only reported for samples covered by at least 100000 autosomal SNPs),Library type,LibraryID(s), Percent human sequences by library (computed on shotgun data) ,Qualitative assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S95.EC,S95,"Wang, Chuanchao; Lin, Song; Zhao, Jing; Zhang, Hu-Qin; Sun, Zhou-Yong ; Chen, Liang; Wu, Xiao-Ming; Hu, Xi; Yang, Tie-Lin; Du, Hua",bone (long bone),Context: Archaeological period,5050,173,3400-2800 BCE,Confident - All 11 passing ancient DNA datasets from the site cluster genetically and pass authenticity assessments,China_Wuzhuangguoliang_LN_1d.rel.S97.EC,No (first degree relative of another higher coverage individual in the dataset),"Shaanxi, Wuzhuangguoliang","Sun, Z.Y., et al. 2011. Archaeology and Cutural Relics. 6, 53�63.",China,37.82060368,109.0505931,exome capture,1,0.043585,25976,M,"China, Wuzhuangguoliang, Shaanxi, China Family A (2 members) (S97-S95 are 1d rels)",n/a (too few SNPs),n/a (too few SNPs),n/a (<50000 SNPs),49,A+152+16362,"[0.974,0.993]",0.1778,113,"[0,0.020]",n/a (<100000 SNPs covered so too low coverage to compute),ds.minus,cap46-18R21271_L001_S95,..,"PASS (damage+[30bp,90bp])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S97.EC,S97,"Wang, Chuanchao; Lin, Song; Zhao, Jing; Zhang, Hu-Qin; Sun, Zhou-Yong ; Chen, Liang; Wu, Xiao-Ming; Hu, Xi; Yang, Tie-Lin; Du, Hua",tooth,Context: Archaeological period,5050,173,3400-2800 BCE,Confident - All 11 passing ancient DNA datasets from the site cluster genetically and pass authenticity assessments,China_Wuzhuangguoliang_LN.EC,Yes,"Shaanxi, Wuzhuangguoliang","Sun, Z.Y., et al. 2011. Archaeology and Cutural Relics. 6, 53�63.",China,37.82060368,109.0505931,exome capture,1,0.094092,34707,M,"China, Wuzhuangguoliang, Shaanxi, China Family A (2 members) (S97-S95 are 1d rels)",n/a (too few SNPs),n/a (too few SNPs),n/a (<50000 SNPs),318,B4a4,"[0.993,0.998]",0.1938,309,"[0.007,0.022]",n/a (<100000 SNPs covered so too low coverage to compute),ds.minus,cap48-18R21270_L001_S97,..,"PASS (damage+[30bp,100bp])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S96.EC,S96,"Wang, Chuanchao; Lin, Song; Zhao, Jing; Zhang, Hu-Qin; Sun, Zhou-Yong ; Chen, Liang; Wu, Xiao-Ming; Hu, Xi; Yang, Tie-Lin; Du, Hua",bone,Context: Archaeological period,5050,173,3400-2800 BCE,Confident - All 11 passing ancient DNA datasets from the site cluster genetically and pass authenticity assessments,China_Wuzhuangguoliang_LN_lc.EC,No (low coverage),"Shaanxi, Wuzhuangguoliang","Sun, Z.Y., et al. 2011. Archaeology and Cutural Relics. 6, 53�63.",China,37.82060368,109.0505931,exome capture,1,0.015725,13344,F,n/a (no relatives detected),n/a (too few SNPs),n/a (too few SNPs),n/a (female),10,G2a1,"[0.867,0.984]",0.1565,n/a (female),n/a (female),n/a (<100000 SNPs covered so too low coverage to compute),ds.minus,cap47-18R21269_L001_S96,..,"PASS (damage+[30bp,60bp], low coverage at 13344 SNPs)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S94.EC,S94,"Wang, Chuanchao; Lin, Song; Zhao, Jing; Zhang, Hu-Qin; Sun, Zhou-Yong ; Chen, Liang; Wu, Xiao-Ming; Hu, Xi; Yang, Tie-Lin; Du, Hua",bone,Context: Archaeological period,5050,173,3400-2800 BCE,Confident - All 11 passing ancient DNA datasets from the site cluster genetically and pass authenticity assessments,China_Wuzhuangguoliang_LN_lc.EC,No (low coverage),"Shaanxi, Wuzhuangguoliang","Sun, Z.Y., et al. 2011. Archaeology and Cutural Relics. 6, 53�63.",China,37.82060368,109.0505931,exome capture,1,0.011076,10538,F,n/a (no relatives detected),n/a (too few SNPs),n/a (too few SNPs),n/a (female),25,D5a3,"[0.959,0.989]",0.2485,n/a (female),n/a (female),n/a (<100000 SNPs covered so too low coverage to compute),ds.minus,cap45-18R21273_L001_S94,..,"PASS (damage+[30bp,70bp], low coverage at n=10538 SNPs)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S123.EC,S123,"Wang, Chuanchao; Lin, Song; Zhao, Jing; Zhang, Hu-Qin; Sun, Zhou-Yong ; Chen, Liang; Wu, Xiao-Ming; Hu, Xi; Yang, Tie-Lin; Du, Hua",bone (cranial),Context: Archaeological period,5050,173,3400-2800 BCE,Confident - All 11 passing ancient DNA datasets from the site cluster genetically and pass authenticity assessments,China_Wuzhuangguoliang_LN.EC,Yes,"Shaanxi, Wuzhuangguoliang","Sun, Z.Y., et al. 2011. Archaeology and Cutural Relics. 6, 53�63.",China,37.82060368,109.0505931,exome capture,1,0.154254,44609,F,n/a (no relatives detected),n/a (too few SNPs),n/a (too few SNPs),n/a (female),241,B4a4,"[0.970,0.982]",0.2415,n/a (female),n/a (female),n/a (<100000 SNPs covered so too low coverage to compute),ds.minus,18R34357_L001_S123,..,PASS (all reads),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18R21262.EC,18R21262,"Wang, Chuanchao; Lin, Song; Zhao, Jing; Zhang, Hu-Qin; Sun, Zhou-Yong ; Chen, Liang; Wu, Xiao-Ming; Hu, Xi; Yang, Tie-Lin; Du, Hua",bone,Context: Archaeological period,5050,173,3400-2800 BCE,Confident - All 11 passing ancient DNA datasets from the site cluster genetically and pass authenticity assessments,China_Wuzhuangguoliang_LN.EC,Yes,"Shaanxi, Wuzhuangguoliang","Sun, Z.Y., et al. 2011. Archaeology and Cutural Relics. 6, 53�63.",China,37.82060368,109.0505931,exome capture,1,0.090919,36205,F,n/a (no relatives detected),n/a (too few SNPs),n/a (too few SNPs),n/a (female),595,A7,"[0.995,0.999]",0.2709,n/a (female),n/a (female),n/a (<100000 SNPs covered so too low coverage to compute),ds.minus,cap40-18R21262,..,PASS (all reads),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S91.EC,S91,"Wang, Chuanchao; Lin, Song; Zhao, Jing; Zhang, Hu-Qin; Sun, Zhou-Yong ; Chen, Liang; Wu, Xiao-Ming; Hu, Xi; Yang, Tie-Lin; Du, Hua",bone,Context: Archaeological period,5050,173,3400-2800 BCE,Confident - All 11 passing ancient DNA datasets from the site cluster genetically and pass authenticity assessments,China_Wuzhuangguoliang_LN.EC,Yes,"Shaanxi, Wuzhuangguoliang","Sun, Z.Y., et al. 2011. Archaeology and Cutural Relics. 6, 53�63.",China,37.82060368,109.0505931,exome capture,1,0.044393,27903,F,n/a (no relatives detected),n/a (too few SNPs),n/a (too few SNPs),n/a (female),96,M11a,"[0.978,0.989]",0.1922,n/a (female),n/a (female),n/a (<100000 SNPs covered so too low coverage to compute),ds.minus,cap42-18R21272_L001_S91,..,PASS (all reads),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S118.EC,S118,"Wang, Chuanchao; Lin, Song; Zhao, Jing; Zhang, Hu-Qin; Sun, Zhou-Yong ; Chen, Liang; Wu, Xiao-Ming; Hu, Xi; Yang, Tie-Lin; Du, Hua",bone (cranial),Context: Archaeological period,5050,173,3400-2800 BCE,Confident - All 11 passing ancient DNA datasets from the site cluster genetically and pass authenticity assessments,China_Wuzhuangguoliang_LN.EC,Yes,"Shaanxi, Wuzhuangguoliang","Sun, Z.Y., et al. 2011. Archaeology and Cutural Relics. 6, 53�63.",China,37.82060368,109.0505931,exome capture,1,0.026527,19448,F,n/a (no relatives detected),n/a (too few SNPs),n/a (too few SNPs),n/a (female),18,D4q,"[0.925,0.985]",0.2393,n/a (female),n/a (female),n/a (<100000 SNPs covered so too low coverage to compute),ds.minus,18R34358_S118,..,"PASS (damage+[30bp,110bp])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S120.EC,S120,"Wang, Chuanchao; Lin, Song; Zhao, Jing; Zhang, Hu-Qin; Sun, Zhou-Yong ; Chen, Liang; Wu, Xiao-Ming; Hu, Xi; Yang, Tie-Lin; Du, Hua",tooth,Context: Archaeological period,5050,173,3400-2800 BCE,Confident - All 11 passing ancient DNA datasets from the site cluster genetically and pass authenticity assessments,China_Wuzhuangguoliang_LN.EC,Yes,"Shaanxi, Wuzhuangguoliang","Sun, Z.Y., et al. 2011. Archaeology and Cutural Relics. 6, 53�63.",China,37.82060368,109.0505931,exome capture,1,0.030178,22269,M,n/a (no relatives detected),n/a (too few SNPs),n/a (too few SNPs),n/a (<50000 SNPs),191,R11a,"[0.997,1.000]",0.1596,77,"[0.004,0.050]",n/a (<100000 SNPs covered so too low coverage to compute),ds.minus,18R34360_L001_S120,..,"PASS (damage+[30bp,70bp])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18R21265.EC,18R21265,"Wang, Chuanchao; Lin, Song; Zhao, Jing; Zhang, Hu-Qin; Sun, Zhou-Yong ; Chen, Liang; Wu, Xiao-Ming; Hu, Xi; Yang, Tie-Lin; Du, Hua",bone (cranial),Context: Archaeological period,5050,173,3400-2800 BCE,Confident - All 11 passing ancient DNA datasets from the site cluster genetically and pass authenticity assessments,China_Wuzhuangguoliang_LN.EC,Yes,"Shaanxi, Wuzhuangguoliang","Sun, Z.Y., et al. 2011. Archaeology and Cutural Relics. 6, 53�63.",China,37.82060368,109.0505931,exome capture,1,0.023734,18410,M,n/a (no relatives detected),n/a (too few SNPs),n/a (too few SNPs),n/a (<50000 SNPs),21,F1g1,"[0.946,0.982]",0.1084,54,"[0,0.029]",n/a (<100000 SNPs covered so too low coverage to compute),ds.minus,cap06-18R21265,..,"PASS (damage+[30bp,70bp])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
