AMS Laboratory,AMS Lab number,Individual ID,Site,Country / Region,Skeletal element used for genetic analysis,Skeletal element used for dating analysis,Process,fraction Modern,�,D14C (�),�,14C age (BP),�,?13C (�),?15N (�),%C,%N,C:N,lower bound of 95.4% confidence interval from OxCal v4.4.2 Bronk Ramsey (2009); r:5; Atmospheric data from Reimer et al (2020) (CE/BCE),upper bound of 95.4% confidence interval from OxCal v4.4.2 Bronk Ramsey (2009); r:5; Atmospheric data from Reimer et al (2020) (CE/BCE),mean in calibrated radiocarbon years BP (mu from from OxCal v4.4.2 Bronk Ramsey (2009); r:5; Atmospheric data from Reimer et al (2020)),standard deviation in calibrated radiocarbon years BP (sigma from from OxCal v4.4.2 Bronk Ramsey (2009); r:5; Atmospheric data from Reimer et al (2020)),,,,
Poz,Poz-83476,I1196,"Primorsky Krai, Boisman-2",Russia,tooth,tooth (same as the element used for genetic analysis),Longin collagen extraction,n/a,n/a,n/a,n/a,6155,35,n/a,n/a,6.8,1.9,3.21,-5211,-5001,7058,64,,,,
Poz,Poz-83478,I1198,"Primorsky Krai, Boisman-2",Russia,tooth,tooth (same as the element used for genetic analysis),Longin collagen extraction,n/a,n/a,n/a,n/a,6030,40,n/a,n/a,18.1,3.5,3.24,-5036,-4799,6872,61,,,,
Poz,Poz-83474,I1193,"Primorsky Krai, Boisman-2",Russia,tooth,tooth (same as the element used for genetic analysis),Longin collagen extraction,n/a,n/a,n/a,n/a,5995,35,n/a,n/a,7.3,2,3.22,-4989,-4794,6832,52,,,,
Poz,Poz-83477,I1197,"Primorsky Krai, Boisman-2",Russia,tooth,tooth (same as the element used for genetic analysis),Longin collagen extraction,n/a,n/a,n/a,n/a,5970,40,n/a,n/a,15.8,6.2,3.2,-4983,-4726,6804,57,,,,
Poz,Poz-83475,I1194,"Primorsky Krai, Boisman-2",Russia,bone (long bone),bone (long bone) (same as the element used for genetic analysis),Longin collagen extraction,n/a,n/a,n/a,n/a,5840,35,n/a,n/a,5.8,1.4,3.27,-4795,-4556,6652,55,,,,
Poz,Poz-83438,I1202,"Pospelovo 1, Primorsky Krai",Russia,tooth,tooth (same as the element used for genetic analysis),Longin collagen extraction,n/a,n/a,n/a,n/a,2760,35,n/a,n/a,7.1,2.3,3.14,-997,-825,2850,48,,,,
PSUAMS,PSUAMS-7944,I13884,Rokutsu Shell Mound,Japan,petrous,n/a,>30kDa gelatin,0.614,0.0015,-386,1.5,3920,25,5.4,44.4,44.35665517,15.8929849,3.2561178,-2472,-2300,4351,48,,,,
PSUAMS,PSUAMS-7947,I13887,Rokutsu Shell Mound,Japan,petrous,n/a,>30kDa gelatin,0.6316,0.0015,-368.4,1.5,3690,20,5.5,46.2,46.20219652,16.36796478,3.2931744,-2191,-1982,4032,42,,,,
PSUAMS,PSUAMS-7946,I13886,Rokutsu Shell Mound,Japan,petrous,n/a,>30kDa gelatin,0.6335,0.0014,-366.5,1.4,3665,20,5.8,44.5,44.47540126,15.59624069,3.326953538,-2136,-1959,4003,53,,,,
PSUAMS,PSUAMS-7937,I13882,Rokutsu Shell Mound,Japan,petrous,n/a,XAD amino acids,0.6863,0.0015,-313.7,1.5,3025,20,10.5,29.5,29.45828821,10.66647265,3.222058878,-1386,-1212,3234,51,,,,
PSUAMS,PSUAMS-7945,I13885,Rokutsu Shell Mound,Japan,petrous,n/a,>30kDa gelatin,0.6872,0.0015,-312.8,1.5,3015,20,10,21.8,21.7838356,7.801367078,3.257695044,-1382,-1134,3216,51,,,,
PSUAMS,PSUAMS-7943,I13883,Rokutsu Shell Mound,Japan,petrous,n/a,>30kDa gelatin,0.7083,0.0015,-291.7,1.5,2770,20,9.3,44.2,44.18625772,15.83077897,3.256354857,-984,-835,2859,41,,,,
PSUAMS,PSUAMS-7279,I6358,"Dornod aimag, Bayantumen sum, Kherlen River South bank nearby Choibalsan town ",Mongolia,petrous (cranial base drilling),bone (cranial fragment),>30kDa gelatin,0.4201,0.0016,-579.9,1.6,6965,35,-18.1,12.8,72.5,25.4,3.32,-5973,-5745,7794,56,,,,
PSUAMS,PSUAMS-8435,I13698,"Bulgan, Khutag-Undur sum, Egiin-gol river valley, Marzyn Khutul, tomb 1-055-1, skeleton 2",Mongolia,tooth; petrous,petrous,XAD amino acids,0.4389,0.0012,-561.1,1.2,6615,25,9.7,29.1,29.05139603,10.60331225,3.19648187,-5621,-5482,7504,40,,,,
PSUAMS,PSUAMS-3931,I7021,"Dornod aimag, Bulgan sum, Norovlin Uul burial",Mongolia,petrous,petrous (same as the element used for genetic analysis),>30kDa gelatin,0.4653,0.0019,-534.7,1.9,6145,35,-16.4,13.3,51.8,18.4,3.28,-5211,-4995,7050,68,,,,
PSUAMS,PSUAMS-6944,I13180,"Bayan-Ulgii aimag, Ulaankhus sum, Kumdii govi barrow, burial 2 ",Mongolia,petrous,petrous (same as the element used for genetic analysis),>30kDa gelatin,0.5862,0.0025,-413.8,2.5,4290,35,-17.4,14.4,66.5,24,3.23,-3012,-2875,4862,42,,,,
PSUAMS,PSUAMS-6942,I13957,"Bayan-Ulgii aimag, Ulaankhus sum, Kurgak govi barrow 1, infant burial in main grave ",Mongolia,petrous,petrous (same as the element used for genetic analysis),XAD amino acids,0.6005,0.0015,-399.5,1.5,4095,25,-17.4,14.8,11.4,4.2,3.19,-2857,-2501,4625,92,,,,
PSUAMS,PSUAMS-7274,I6348,"Bulgan, Khutag-Undur sum, Haruulyn Gozgor tomb 1-113",Mongolia,petrous (cranial base drilling),bone (cranial fragment),>30kDa gelatin,0.6552,0.0017,-344.8,1.7,3395,25,-19.0,11.5,18.4,6.6,3.26,-1749,-1617,3632,43,,,,
PSUAMS,PSUAMS-3113,I6347,"Uvs aimag, Z��nkhangai sum, Savaa Khar",Mongolia,petrous (cranial base drilling),tooth,>30kDa gelatin,0.6814,0.0015,-318.6,1.5,3080,20,-16.9,16.3,45.1,16.2,3.24,-1414,-1280,3295,38,,,,
PSUAMS,PSUAMS-3112,I6264,"Bayankhongor aimag, Khar Sairiin Am, Khirigsuur",Mongolia,petrous (cranial base drilling),tooth,>30kDa gelatin,0.6837,0.0014,-316.3,1.4,3055,20,-18.3,13.4,48.7,17.6,3.24,-1401,-1235,3275,43,,,,
PSUAMS,PSUAMS-3111,I6262,"Bayankhongor aimag, Khar Sairiin Am, Khirigsuur",Mongolia,petrous (cranial base drilling),tooth,>30kDa gelatin,0.6839,0.0014,-316.1,1.4,3050,20,-17,15.1,39.3,14.1,3.25,-1398,-1228,3270,45,,,,
PSUAMS,PSUAMS-7277,I6356,"Uvs aimag, Ulaangom sum, Chandman Uul, Ulaangom cemetery, Grave #58, Burial 2",Mongolia,petrous (cranial base drilling),bone (mandibular fragment),>30kDa gelatin,0.6857,0.0016,-314.3,1.6,3030,20,-17.6,15.5,47.3,16.6,3.32,-1386,-1217,3243,51,,,,
PSUAMS,PSUAMS-7284,I6367,"Bayan-Ulgii aimag, Tsengel sum, Biluut 2, barrow 3",Mongolia,petrous (cranial base drilling),bone (long bone),>30kDa gelatin,0.6921,0.0015,-307.9,1.5,2955,20,-18.5,13.4,47.0,16.6,3.30,-1259,-1056,3116,41,,,,
PSUAMS,PSUAMS-7115,I13768,"Bayankhongor aimag, Ulziit sum, Muunit uul",Mongolia,petrous,petrous (same as the element used for genetic analysis),>30kDa gelatin,0.6947,0.0016,-305.3,1.6,2925,20,-17.1,14.9,44.2,16,3.22,-1213,-1048,3074,49,,,,
PSUAMS,PSUAMS-7280,I6363,"Khovd, Bulgan sum, Khudzrtyn gol II, barrow 1, burial 4 (main burial)",Mongolia,petrous (cranial base drilling),bone (medial phalanx),>30kDa gelatin,0.6949,0.0016,-305.1,1.6,2925,20,-17.9,14.1,49.0,17.7,3.23,-1213,-1048,3074,49,,,,
PSUAMS,PSUAMS-4005,I7033,"Uvs aimag, Ulaangom sum, Chandman uul, Ulaangom cemetery kurgan 59",Mongolia,petrous,petrous (same as the element used for genetic analysis),XAD amino acids,0.6952,0.0017,-304.8,1.7,2920,20,-18.1,15.3,52.9,18.7,3.31,-1210,-1019,3066,49,,,,
PSUAMS,PSUAMS-4006,I7039,"Khovd, Duut sum, Khoit Tsenkheriin gol 1988 barrow 3",Mongolia,petrous,petrous (same as the element used for genetic analysis),XAD amino acids,0.6954,0.0014,-304.6,1.4,2920,20,-18.1,13.9,40,14.1,3.3,-1210,-1019,3066,49,,,,
PSUAMS,PSUAMS-7276,I6352,"Uvurkhangai, Khujirt sum, Shunkhlai Uul, Grave #1",Mongolia,petrous (cranial base drilling),bone (rib fragment),>30kDa gelatin,0.7019,0.0016,-298.1,1.6,2845,20,-18.1,12.4,45.6,16.3,3.27,-1107,-924,2949,42,,,,
PSUAMS,PSUAMS-7281,I6364,"Khovd, Bulgan sum, Uliastain dood denj I, kurgan 4",Mongolia,petrous (cranial base drilling),bone (mandibular fragment),>30kDa gelatin,0.7041,0.0017,-295.9,1.7,2820,20,-18.3,13.2,52.7,19.1,3.23,-1043,-911,2918,32,,,,
PSUAMS,PSUAMS-2955,I6362,"Khovd, Bulgan sum, Khudzhirtyn gol I, kurgan 2",Mongolia,petrous (cranial base drilling),tooth,XAD amino acids,0.7043,0.0016,-295.7,1.6,2815,20,-17.6,14.3,23.5,8.7,3.16,-1042,-906,2915,31,,,,
PSUAMS,PSUAMS-7275,I6351,"Uvs aimag, Khyargas sum, Urgun shireg, Tomb 3",Mongolia,petrous (cranial base drilling),bone (rib fragment),>30kDa gelatin,0.7071,0.0015,-292.9,1.5,2785,20,-18.2,11.7,40.7,14.5,3.28,-1006,-846,2885,37,,,,
PSUAMS,PSUAMS-2946,I6353,"Uvurkhangai, Khujirt sum, Shunkhlai Uul, Tomb 9",Mongolia,petrous (cranial base drilling),tooth,>30kDa gelatin,0.7075,0.0018,-292.5,1.8,2780,25,-17.4,13.7,43.2,15.7,3.2,-1006,-836,2876,43,,,,
